Chapter,Number,Source,Value,Media,A,B,C,D,CorrectAnswer,Explanation
Objective-3,14,CH3_SEIDL,What type of communications is SRTP most likely to be used for?,,A. Email , B. VoIP , C. Web , D. File transfer,B,"SRTP is a secure version of the Real-Time Transport Protocol and is used primarily for Voice over IP (VoIP) and multimedia streaming or broadcast. SRTP, as currently implemented, does not fully protect packets, leaving RTP headers exposed, potentially exposing information that might provide attackers with information about the data being transferred."
Objective-3,15,CH3_SEIDL,"Olivia is implementing a load-balanced web application cluster. Her organization already has a redundant pair of load balancers, but each unit is not rated to handle the maximum designed throughput of the cluster by itself. Olivia has recommended that the load balancers be implemented in an active/active design. What concern should she raise as part of this recommendation?",,A. The load balancer cluster cannot be patched without a service outage. , B. The load balancer cluster is vulnerable to a denial-of-service attack. ," C. If one of the load balancers fails, it could lead to service degradation. ", D. None of the above,C,"Olivia should make her organization aware that a failure in one of the active nodes would result in less maximum throughput and a potential for service degradation. Since services are rarely run at maximum capacity, and many can have maintenance windows scheduled, this does not mean that the load balancers cannot be patched. There is nothing in this design that makes the load balancers more vulnerable to denial of service than they would be under any other design."
Objective-3,16,CH3_SEIDL,What two ports are most commonly used for FTPS traffic?,,"A. 21, 990 "," B. 21, 22 "," C. 433, 1433 "," D. 20, 21",A,"File Transfer Protocol Secure (FTPS) typically uses port 990 for implicit FTPS and port 21, the normal FTP command port, is used for explicit FTPS. Port 22 is used for SSH, 433 was used for the Network News Transfer Protocol (NNTP), 1433 is used for Microsoft SQL, and port 20 is used for FTP."
Objective-3,17,CH3_SEIDL,What occurs when a certificate is stapled?,,A. Both the certificate and OCSP responder are sent together to prevent additional retrievals during certificate path validation. , B. The certificate is stored in a secured location that prevents the certificate from being easily removed or modified. , C. Both the host certificate and the root certificate authority’s private key are attached to validate the authenticity of the chain. , D. The certificate is attached to other certificates to demonstrate the entire certificate chain.,A,"Certificate stapling allows the server that is presenting a certificate to provide a more efficient way to check the revocation status of the certificate via the Online Certificate Status Protocol (OCSP) by including the OCSP response with the handshake for the certificate. This provides both greater security because clients know that the certificate is valid, and greater efficiency because they don’t have to perform a separate retrieval to check the certificate’s status. The rest of the options were made up and are not certificate stapling."
Objective-3,18,CH3_SEIDL,"Greg is setting up a public key infrastructure (PKI). He creates an offline root certificate authority (CA) and then needs to issue certificates to users and devices. What system or device in a PKI receives certificate signing requests (CSRs) from applications, systems, and users?",,A. An intermedia CA , B. An RA , C. A CRL , D. None of the above,B,"A registration authority, or RA, receives requests for new certificates as well as renewal requests for existing certificates. They can also receive revocation requests and similar tasks.  An intermedia CA is trusted by the root CA to issue certificates. A CRL is a certificate revocation list."
Objective-3,19,CH3_SEIDL,Mark is responsible for managing his company’s load balancer and wants to use a loadbalancing scheduling technique that will take into account the current server load and active sessions. Which of the following techniques should he choose?,,A. Source IP hashing , B. Weighted response time , C. Least connection , D. Round robin,C,"Least connection-based load balancing takes load into consideration and sends the next request to the server with the least number of active sessions. Round robin simply distributes requests to each server in order, whereas weighted time uses health checks to determine which server responds the most quickly on an ongoing basis and then sends the traffic to that server. Finally, source IP hashing uses the source and destination IP addresses to generate a hash key and then uses that key to track sessions, allowing interrupted sessions to be reallocated to the same server and thus allowing the sessions to continue."
Objective-3,20,CH3_SEIDL,"During a security review, Matt notices that the vendor he is working with lists their IPSec virtual private network (VPN) as using AH protocol for security of the packets that it sends.  What concern should Matt note to his team about this?",,A. AH does not provide confidentiality. , B. AH does not provide data integrity. , C. AH does not provide replay protection. ," D. None of the above; AH provides confidentiality, authentication, and replay protection.",A,"IPSec’s Authentication Header (AH) protocol does not provide data confidentiality because it secures only the header, not the payload. That means that AH can provide integrity and replay protection but leaves the rest of the data at risk. Matt should note this and express concerns about why the VPN is not using Encapsulating Security Protocol (ESP)."
Objective-3,21,CH3_SEIDL,Michelle wants to secure mail being retrieved via the Post Office Protocol Version 3 (POP3) because she knows that it is unencrypted by default. What is her best option to do this while leaving POP3 running on its default port?,,A. Use TLS via port 25. , B. Use IKE via port 25. , C. Use TLS via port 110. , D. Use IKE via port 110.,C,"Michelle knows that POP3 runs on port 110 by default, and that TLS (via STARTTLS as an extension) allows POP3 clients to request a secure connection without needing to use the alternate port 995 used in some configurations. Port 25 is the default port for Simple Mail Transfer Protocol (SMTP), and IKE is used for IPSec."
Objective-3,22,CH3_SEIDL,Daniel works for a mid-sized financial institution. The company has recently moved some of its data to a cloud solution. Daniel is concerned that the cloud provider may not support the same security policies as the company’s internal network. What is the best way to mitigate this concern?,,A. Implement a cloud access security broker. , B. Perform integration testing. , C. Establish cloud security policies. , D. Implement security as a service.,A,"A cloud access security broker (CASB) is a software tool or service that sits between an organization’s on-premises network and a cloud provider’s infrastructure. A CASB acts as a gatekeeper, allowing the organization to extend the reach of their security policies into the cloud."
Objective-3,23,CH3_SEIDL,The company that Angela works for has deployed a Voice over IP (VoIP) environment that uses SIP. What threat is the most likely issue for their phone calls?  ,,A. Call interception , B. Vishing , C. War dialing , D. Denial-of-service attacks,A,"Angela’s company has deployed a version of Session Initiation Protocol (SIP) that doesn’t use Transport Layer Security (TLS) to maintain confidentiality. She should switch to a SIP Secure (SIPS) implementation to protect the confidentiality of phone conversations. Vishing, or voice phishing; war dialing, which attempts to map all numbers for a phone service, typically to find modems; and denial of service are all less likely on a VoIP network, although they could occur."
Objective-3,24,CH3_SEIDL,Alaina is concerned about the security of her NTP time synchronization service because she knows that protocols like TLS and BGP are susceptible to problems if fake NTP messages were able to cause time mismatches between systems. What tool could she use to quickly protect her NTP traffic between Linux systems?,,A. An IPSec VPN , B. SSH tunneling , C. RDP , D. A TLS VPN,B,"The fastest way for Alaina to implement secure transport for her Network Time Protocol (NTP) traffic will typically be to simply tunnel the traffic via Secure Shell (SSH) from the NTP server to her Linux systems. An IPSec virtual private network (VPN) between devices will typically take more work to set up and maintain, although this could be scripted, and a Transport Layer Security (TLS) VPN would require additional work since it is intended for web traffic. RDP is the Remote Desktop Protocol and is primarily used for Windows systems and would not be a good choice. In most environments, however, NTP traffic does not receive any special security, and NTP sources are trusted to perform without exceptional security measures."
Objective-3,25,CH3_SEIDL,"Ramon is building a new web service and is considering which parts of the service should use Transport Layer Security (TLS). Components of the application include: 1. Authentication 2. A payment form 3. User data, including address and shopping cart 4. A user comments and reviews section Where should he implement TLS?",,"A. At points 1 and 2, and 4 "," B. At points 2 and 3, and 4 "," C. At points 1, 2, and 3 ", D. At all points in the infrastructure,D,"The safest and most secure answer is that Ramon should simply implement TLS for the entire site. Although TLS does introduce some overhead, modern systems can handle large numbers of simultaneous TLS connections, making a secure website an easy answer in almost all cases."
Objective-3,26,CH3_SEIDL,"Katie’s organization uses File Transfer Protocol (FTP) for contractors to submit their work product to her organization. The contractors work on sensitive customer information, and then use organizational credentials provided by Katie’s company to log in and transfer the information. What sensitive information could attackers gather if they were able to capture the network traffic involved in this transfer? ",,"A. Nothing, because FTP is a secure protocol ", B. IP addresses for both client and server , C. The content of the files that were uploaded ," D. Usernames, passwords, and file content",D,"Although IP addresses for public servers and clients are not typically considered sensitive, the usernames, passwords, and files that the contractors use would be. Katie should consider helping her organization transition to a secure FTP or other service to protect her organization’s customers and the organization itself."
Objective-3,27,CH3_SEIDL,What security benefits are provided by enabling DHCP snooping or DHCP sniffing on switches in your network?,,A. Prevention of malicious or malformed DHCP traffic , B. Prevention of rogue DHCP servers , C. Collection of information about DHCP bindings , D. All of the above,D,Dynamic Host Configuration Protocol (DHCP) sniffing or snooping can be enabled to prevent rogue DHCP servers as well as malicious or malformed DHCP traffic. It also allows the capture and collection of DHCP binding information to let network administrators know who is assigned what IP address.
Objective-3,28,CH3_SEIDL,Aaron wants to use a certificate for the following production hosts: www.example.com blog.example.com news.example.com What is the most efficient way for him to provide Transport Layer Security (TLS) for all of these systems?,,A. Use self-signed certificates. , B. Use a wildcard certificate. , C. Use an EV certificate. , D. Use an SSL certificate.,B,"Aaron can use a wildcard certificate to cover all the hosts inside of a set of subdomains.  Wildcards only cover a single level of subdomain, however, so if he purchased *.example .com, he could not use *.blog.example.com. A self-signed certificate will cause errors for visitors and should not be used for production purposes. Self-signed certificates will create errors in most browsers and so are not used in production environments. Extended validation (EV) certificates will not provide this functionality, and Secure Sockets Layer (SSL) is no longer in use with the switch to TLS for security reasons."
Objective-3,29,CH3_SEIDL,Cassandra is concerned about attacks against her network’s Spanning Tree Protocol (STP).  She wants to ensure that a new switch introduced by an attacker cannot change the topology by asserting a lower bridge ID than the current configuration. What should she implement to prevent this?  ,,A. Enable BridgeProtect. , B. Set the bridge ID to a negative number. , C. Disable Spanning Tree protocol. , D. Enable Root Guard.,D,"Root Guard can be set on a per-port basis to protect ports that will never be set up to be the root bridge for a VLAN. Since this shouldn’t change regularly, it is safe to set for most ports in a network. Spanning tree is used to prevent loops, so disabling STP would actually make this problem more likely. Bridge IDs cannot be negative, and BridgeProtect was made up for this question."
Objective-3,30,CH3_SEIDL,Charles finds a PFX formatted file on the system he is reviewing. What is a PFX file capable of containing?,,"A. Only certificates and chain certificates, not private keys ", B. Only a private key ," C. A server certificate, intermediate certificates, and the private key "," D. None of the above, because PFX files are used for certificate requests only",C,"A Personal Information Exchange (PFX) formatted file is a binary format used to store server certificates, as well as intermediary certificates, and it can also contain the server’s private key. Privacy Enhanced Mail (PEM) files can contain multiple PEM certificates and a private key, but most systems store certificates and the key separately. Distinguished Encoding Rules (DER) format files are frequently used with Java platforms and can store all types of certificates and private keys. P7B, or PKCS#7, formatted files can contain only certificates and certificate chains, not private keys. For the exam, you should also know that a CER is a file extension for an SSL certificate file format used by web servers to help verify the identity and security of the site in question. SSL certificates are provided by a third-party security certificate authority such as VeriSign, GlobalSign, or Thawte.  A P12 file contains a digital certificate that uses PKCS#12 (Public Key Cryptography Standard #12) encryption. The P12 file contains both the private and the public key, as well as information about the owner (name, email address, etc.), all being certified by a third party.  With such a certificate, a user can identify themselves and authenticate themselves to any organization trusting the third party."
Objective-3,31,CH3_SEIDL,Which device would most likely process the following rules? PERMIT IP ANY EQ 443 DENY IP ANY ANY,,A. NIPS , B. HIPS , C. Content filter , D. Firewall,D,"A firewall has two types of rules. One type is to allow specific traffic on a given port. The other type of rule is to deny traffic. What is shown here is a typical firewall rule. Options A, B, and C are incorrect. The rule shown is clearly a firewall rule."
Objective-3,32,CH3_SEIDL,"Ted wants to use IP reputation information to protect his network and knows that third parties provide that information. How can he get this data, and what secure protocol is he most likely to use to retrieve it?",,"A. A subscription service, SAML "," B. A VDI, XML "," C. A subscription service, HTTPS "," D. An FDE, XML",C,"Many subscription services allow for data retrieval via HTTPS. Ted can subscribe to one or more threat feeds or reputation services, and then feed that information to an intrusion detection system (IDS), intrusion prevention system (IPS), next -generation firewall, or similar network security tool. Security Assertion Markup Language (SAML) is used to make assertions about identities and authorization, a VDI is a virtual desktop environment, and FDE is full-disk encryption."
Objective-3,33,CH3_SEIDL,What does setting the secure attribute for an HTTP cookie result in?,,A. Cookies will be stored in encrypted form. , B. Cookies will be sent only over HTTPS. , C. Cookies will be stored in hashed form. , D. Cookies must be accessed using a cookie key.,B,"Secure cookies are HTTP cookies that have the secure flag set, thus requiring them to only be sent via a secure channel like HTTPS. They are not stored in encrypted form or hashed, and cookie keys were made up for this question."
Objective-3,34,CH3_SEIDL,Charles wants to use IPSec and needs to be able to determine the IPSec policy for traffic based on the port it is being sent to on the remote system. Which IPSec mode should he use?,,A. IPSec tunnel mode , B. IPSec IKE mode , C. IPSec PSK mode , D. IPSec transport mode,D,"Unlike IPSec’s tunnel mode, IPSec transport mode allows different policies per port. The IP addresses in the outer header for transport mode packets are used to determine the policy applied to the packet. IPSec doesn’t have a PSK mode, but WPA-2 does. IKE is used to set up security associations in IPSec but doesn’t allow this type of mode setting."
Objective-3,35,CH3_SEIDL,Wi-Fi Protected Setup (WPS) includes four modes for adding devices to a network. Which mode has significant security concerns due to a brute-force exploit?,,A. PIN , B. USB , C. Push button , D. Near-field communication,A,"WPS personal identification numbers (PINs) were revealed to be a problem in 2011, when a practical brute-force attack against WPS PIN setup modes was demonstrated. WPS suffers from a variety of other security issues and is not used for enterprise security. WPS remains in use in home environments for ease of setup."
Objective-3,36,CH3_SEIDL,Claire wants to check whether a certificate has been revoked. What protocol is used to validate certificates?,,A. RTCP , B. CRBL , C. OCSP , D. PKCRL,C,"The Online Certificate Status Protocol, or OCSP, is used to determine the status of a certificate. RTCP, CRBL, and PKCRL were all made up for this question."
Objective-3,37,CH3_SEIDL,Nick is responsible for cryptographic keys in his company. What is the best way to deauthorize a public key?,,A. Send out a network alert. , B. Delete the digital certificate. , C. Publish that certificate in the CRL. , D. Notify the RA.,C,"Certificate revocation lists (CRLs) are designed specifically for revoking certificates. Since public keys are distributed via certificates, this is the most effective way to deauthorize a public key. Option A is incorrect. Simply notifying users that a key/certificate is no longer valid is not effective. Option B is incorrect. Deleting a certificate is not always possible and ignores the possibility of a duplicate of that certificate existing. Option D is incorrect. The registration authority (RA) is used in creating new certificates, not in revoking them."
Objective-3,38,CH3_SEIDL,What two connection methods are used for most geofencing applications?,,A. Cellular and GPS , B. USB and Bluetooth , C. GPS and Wi-Fi , D. Cellular and Bluetooth,C,"Global Positioning System (GPS) data and data about local Wi-Fi networks are the two most commonly used protocols to help geofencing applications determine where they are.  When a known Wi-Fi signal is gained or lost, the geofencing application knows it is within range of that network. GPS data is even more useful because it can work in most locations and provide accurate location data. Although Bluetooth is sometimes used for geofencing, its limited range means that it is a third choice. Cellular information would require accurate tower-based triangulation, which means it is not typically used for geofencing applications, and of course USB is a wired protocol."
Objective-3,39,CH3_SEIDL,Gabriel is setting up a new e-commerce server. He is concerned about security issues. Which of the following would be the best location to place an e-commerce server?,,A. DMZ , B. Intranet , C. Guest network , D. Extranet,A,"The demilitarized zone (DMZ) is a zone between an outer firewall and an inner firewall.  It is specifically designed as a place to locate public-facing servers. The outer firewall is more permissive, thus allowing public access to the servers in the DMZ. However, the inner firewall is more secure, thus preventing outside access to the corporate network."
Objective-3,40,CH3_SEIDL,Janelle is the security administrator for a small company. She is trying to improve security throughout the network. Which of the following steps should she take first?,,A. Implement antimalware on all computers. , B. Implement acceptable use policies. , C. Turn off unneeded services on all computers. , D. Set password reuse policies.,C,"The first step in security is hardening the operating system, and one of the most elementary aspects of that is turning off unneeded services. This is true regardless of the operating system. Although installing antimalware, implementing usage policies, and setting password reuse policies are all good practices, turning off unnecessary services is typically the first step in securing a system.."
Objective-3,41,CH3_SEIDL,Ben is responsible for a new application with a worldwide user base that will allow users to sign up to access existing data about them. He would like to use a method of authentication that will permit him to verify that users are the correct people to match up with their accounts. How can he validate these users?,,A. Require that they present their Social Security number. , B. Require them to use a federated identity via Google. , C. Require them to use knowledge-based authentication. , D. Require them to validate an email sent to the account they signed up with.,C,"Knowledge-based authentication requires information that only the user is likely to know.  Examples include things like previous tax payments, bill amounts, and similar information.  Requesting a Social Security number is less secure and would only work for users in the United States. Federated identity via Google accounts does not meet this need because Google accounts do not have a user validation requirement. Finally, validation emails only prove that the user has access to an account that they provide, not that they are a specific individual."
Objective-3,42,CH3_SEIDL,Jason wants to implement a remote access virtual private network (VPN) for users in his organization who primarily rely on hosted web applications. What common VPN type is best suited to this if he wants to avoid deploying client software to his end-user systems?,,A. A TLS VPN , B. An RDP (Remote Desktop Protocol) VPN , C. An Internet Control Message Protocol (ICMP) VPN , D. An IPSec VPN,A,"A Transport Layer Security (TLS) VPN is frequently chosen when ease of use is important, and web applications are the primary usage mode. IPSec VPNs are used for site-to-site VPNs and for purposes where other protocols may be needed, because they make the endpoint system appear to be on the remote network."
Objective-3,43,CH3_SEIDL,Juan is a network administrator for an insurance company. His company has a number of traveling salespeople. He is concerned about confidential data on their laptops. What is the best way for him to address this?,,A. FDE , B. TPM , C. SDN , D. DMZ,A,"Full-disk encryption (FDE) fully encrypts the hard drive on a computer. This is an effective method for ensuring the security of data on a computer. Trusted Platform Modules (TPMs) are store keys and are used for boot integrity and other cryptographic needs and won’t directly protect the data. Software-defined networking (SDN) is virtualized networking, and demilitarized zones (DMZs) are used to segment a network and won’t affect this problem."
Objective-3,44,CH3_SEIDL,Which design concept limits access to systems from outside users while protecting users and systems inside the LAN?,,A. DMZ , B. VLAN , C. Router , D. Guest network,A,"A DMZ (demilitarized zone) provides limited access to public-facing servers for outside users, but blocks outside users from accessing systems inside the LAN. It is a common practice to place web servers in the DMZ. A virtual LAN, or VLAN, is most often used to segment the internal network, routers direct traffic based on IP address, and a guest network allows internal users who are not employees to get access to the Internet."
Objective-3,45,CH3_SEIDL,"Nina wants to use information about her users like their birth dates, addresses, and job titles as part of her identity management system. What term is used to describe this type of information?",,A. Roles , B. Factors , C. Identifiers , D. Attributes,D,"Identity attributes are characteristics of an identity, including details like the individual’s birth date, age, job title, address, or a multitude of other details about the identity. They are used to differentiate the identity from others and may also be used by the identity management system or connected systems in coordination with the identity itself. Roles describe the job or position an individual has in an organization, and factors are something you know, something you have, or something you are. Identifiers are not a common security or authentication term, although identity is."
Objective-3,46,CH3_SEIDL,Megan is preparing a certificate signing request (CSR) and knows that she needs to provide a CN for her web server. What information will she put into the CN field for the CSR?,,A. Her name , B. The hostname , C. The company’s name , D. The fully qualified domain name of the system,D,"The CN, or common name, for a certificate for a system is typically the fully qualified domain name (FQDN) for the server. If Megan was requesting a certificate for herself, instead of for a server, she would use her full name."
Objective-3,47,CH3_SEIDL,Which of the following is the equivalent of a VLAN from a physical security perspective?,,A. Perimeter security , B. Partitioning , C. Security zones , D. Firewall,B,"Physically portioning your network is the physical equivalent of a virtual LAN, or VLAN.  A VLAN is designed to emulate physical partitioning. Perimeter security does not segment the network. Security zones are useful but don’t, by themselves, segment a network. Often a network is segmented, using physical partitions or VLAN, to create security zones. A firewall is meant to block certain traffic, not to segment the network, although a firewall can be part of a segmentation or security zone implementation."
Objective-3,48,CH3_SEIDL,Nelson uses a tool that lists the specific applications that can be installed and run on a system. The tool uses hashes of the application’s binary to identify each application to ensure that the application matches the filename provided for it. What type of tool is Nelson using?,,A. Antivirus , B. Blacklisting , C. Antimalware , D. Whitelisting,D,"Nelson is using a whitelisting (or allowed list) tool. Tools like this allow only specific applications to be installed and run on a system and often use hashes of known good applications to ensure that the applications are those that are permitted. A blacklisting (or blocked list) tool prevents specific applications or files from being used, stored, or downloaded to a system. Although antivirus and antimalware tools may have similar features, the most accurate answer here is whitelisting."
Objective-3,49,CH3_SEIDL,Which type of firewall examines the content and context of each packet it encounters?,,A. Packet filtering firewall , B. Stateful packet filtering firewall , C. Application layer firewall , D. Gateway firewall,B,"A stateful inspection firewall examines the content and context of each packet it encounters. This means that a stateful packet inspection (SPI) firewall understands the preceding packets that came from the same IP address, and thus the context of the communications.  This makes certain attacks, like a SYN flood, almost impossible. Packet filtering firewalls examine each packet but not the context. Application-layer firewalls can use SPI or simple packet filtering, but their primary role is to examine application-specific issues. A common example is a web application firewall. A gateway firewall is simply a firewall at the network gateway. This does not tell us whether it is packet filtering or SPI."
Objective-3,50,CH3_SEIDL,"As part of his wireless network deployment efforts, Scott generates the image shown here. What term is used to describe this type of visualization of wireless networks?",,A. A heatmap , B. A network diagram , C. A zone map , D. A DMZ,A,"Wireless network heatmaps are used to show how strong wireless network signals are throughout a building or location. Scott can use a heatmap like this to see where the wireless signal drops off or where interference may occur. A network diagram would show the logical layout of a network. A demilitarized zone (DMZ) is a network security zone that is exposed to a higher risk region, and a zone map is not a common security term."
Objective-3,51,CH3_SEIDL,You’re designing a new network infrastructure so that your company can allow unauthenticated users connecting from the Internet to access certain areas. Your goal is to protect the internal network while providing access to those areas. You decide to put the web server on a separate subnet open to public contact. What is this subnet called?,,A. Guest network , B. DMZ , C. Intranet , D. VLAN,B,"A demilitarized zone (DMZ) is a separate subnet coming off the separate router interface. Public traffic may be allowed to pass from the external public interface to the DMZ, but it won’t be allowed to pass to the interface that connects to the internal private network.  A guest network provides visitors with Internet access. An intranet consists of internal web resources. Frequently companies put up web pages that are accessible only from within the network for items like human resources notifications, vacation requests, and so forth.  A virtual LAN, or VLAN, is used to segment your internal network."
