Chapter,Number,Source,Value,Media,A,B,C,D,CorrectAnswer,Explanation
Objective-1,28,CH1_SEIDL,Selah includes a question in her procurement request-for-proposal process that asks how long the vendor has been in business and how many existing clients the vendor has. What common issue is this practice intended to help prevent?,, A. Supply chain security issues, B. Lack of vendor support, C. Outsourced code development issues, D. System integration problems,B,"Passive reconnaissance is any reconnaissance that is done without actually connecting to the target. In this case, John is conducting a form of OSINT, or open source intelligence, by using commonly available third-party information sources to gather information about his target. Active reconnaissance involves communicating with the target network, such as doing a port scan. The initial exploitation is not information gathering; it is actually breaking into the target network. A pivot is when you have breached one system and use that to move to another system."
Objective-1,29,CH1_SEIDL,"John is conducting a penetration test of a clientâ€™s network. He is currently gathering information from sources such as archive.org, netcraft.com, social media, and information websites. What best describes this stage?",, A. Active reconnaissance, B. Passive reconnaissance, C. Initial exploitation, D. Pivot,A,"Server-side request forgery (SSRF) attempts typically attempt to get HTTP data passed through and will not include SQL injection. Blocking sensitive hostnames, IP addresses, and URLs are all valid ways to prevent SSRF, as is the use of whitelist-based input filters."
Objective-1,30,CH1_SEIDL,Alice wants to prevent SSRF attacks. Which of the following will not be helpful for preventing them?,, A. Removing all SQL code from submitted HTTP queries, B. Blocking hostnames like 127.0.01 and localhost, C. Blocking sensitive URLs like /admin, D. Applying whitelist-based input filters,A,"Domain Name System (DNS) poisoning attacks attempt to insert incorrect or malicious entries into a trusted DNS server. Address Resolution Protocol (ARP) poisoning involves altering the MAC-IP tables in a switch. Although cross-site scripting (XSS) and cross-site request forgery (CSRF or XSRF) are both types of attacks, neither is a poisoning attack."
Objective-1,31,CH1_SEIDL,What type of attack is based on entering fake entries into a target networkâ€™s domain name server?,, A. DNS poisoning, B. ARP poisoning, C. XSS poisoning, D. CSRF poisoning,C,"An unknown environment test is also called black-box or a zero-knowledge test because it does not provide information beyond the basic information needed to identify the target. A known environment, or white-box test, involves very complete information being given to the tester. This scenario is probably done from outside the network, but external test is not the correct terminology. Threat test is not a term used in penetration testing."
Objective-1,32,CH1_SEIDL,"Frank has been asked to conduct a penetration test of a small bookkeeping firm. For the test, he has only been given the company name, the domain name for their website, and the IP address of their gateway router. What best describes this type of test?",, A. A known environment test, B. External test, C. An unknown environment test, D. Threat test,D,"A pivot occurs when you exploit one machine and use that as a basis to attack other systems. Pivoting can be done from internal or external tests. White- and black-box testing describes the amount of information the tester is given in advance, not how the tester performs the test."
Objective-1,33,CH1_SEIDL,"You work for a security company that performs penetration testing for clients. You are conducting a test of an e-commerce company. You discover that after compromising the web server, you can use the web server to launch a second attack into the companyâ€™s internal network. What best describes this?",, A. Internal attack, B. Known environment testing, C. Unknown environment testing, D. A pivot,A,"Shimming is when the attacker places some malware between an application and some other file and intercepts the communication to that file (usually to a library or system API).  In many cases, this is done with a driver for a hardware component. A Trojan horse might be used to get the shim onto the system, but that is not described in this scenario. A backdoor is a means to circumvent system authorization and get direct access to the system. Refactoring is the process of changing names of variables, functions, and so forth in a program."
Objective-1,34,CH1_SEIDL,"While investigating a malware outbreak on your company network, you discover something very odd. There is a file that has the same name as a Windows system DLL, and it even has the same API interface, but it handles input very differently, in a manner to help compromise the system, and it appears that applications have been attaching to this file, rather than the real system DLL. What best describes this?",, A. Shimming, B. Trojan horse, C. Backdoor, D. Refactoring,C,"SOAR is a relatively new category as defined by Gartner. Security orchestration, automation, and response includes threat and vulnerability management, security incident response, and security operations automation, but not automated malware analysis."
Objective-1,35,CH1_SEIDL,"Which of the following capabilities is not a key part of a SOAR (security orchestration, automation, and response) tool?",, A. Threat and vulnerability management, B. Security incident response, C. Automated malware analysis, D. Security operations automation,C,"Domain reputation services like Reputation Authority, Cisco’s Talos, McAfee’s trustedsource.org, and Barracuda’s barracudacentral.org sites all provide domain reputation data that allow you to look up a domain or IP address to determine if it is currently blacklisted or has a poor reputation."
Objective-1,36,CH1_SEIDL,John discovers that email from his companyâ€™s email servers is being blocked because of spam that was sent from a compromised account. What type of lookup can he use to determine what vendors like McAfee and Barracuda have classified his domain as?,, A. An nslookup, B. A tcpdump, C. A domain reputation lookup, D. A SMTP whois,B,"His machines are part of a distributed denial-of-service (DDoS) attack. This scenario describes a generic DDoS, not a specific one like SYN flood, which would involve many SYN packets being sent without a full three-way TCP handshake. These machines could be part of a botnet or they may just have a trigger that causes them to launch the attack at a specific time. The real key in this scenario is the DDoS attack. Finally, a backdoor gives an attacker access to the target system."
Objective-1,37,CH1_SEIDL,Frank is a network administrator for a small college. He discovers that several machines on his network are infected with malware. That malware is sending a flood of packets to a target external to the network. What best describes this attack?,, A. SYN flood, B. DDoS, C. Botnet, D. Backdoor,B,"Since open Wi-Fi hotspots do not have a way to prove they are legitimate, they can be easily spoofed. Attackers can stand up a fake version of the hotspot and then conduct an SSL stripping attack by inserting themselves into sessions that victims attempt to open to secure servers."
Objective-1,38,CH1_SEIDL,Why is SSL stripping a particular danger with open Wi-Fi networks?,, A. WPA2 is not secure enough to prevent this., B. Open hotspots do not assert their identity in a secure way., C. Open hotspots can be accessed by any user., D. 802.11ac is insecure and traffic can be redirected.,B,"A Trojan horse attaches a malicious program to a legitimate program. When the user downloads and installs the legitimate program, they get the malware. A logic bomb is malware that does its misdeeds when some condition is met. A rootkit is malware that gets administrative, or root, access. A macro virus is a virus that is embedded in a document as a macro."
Objective-1,39,CH1_SEIDL,"A sales manager at your company is complaining about slow performance on his computer.  When you thoroughly investigate the issue, you find spyware on his computer. He insists that the only thing he has downloaded recently was a freeware stock trading application. What would best explain this situation?",, A. Logic bomb, B. Trojan horse, C. Rootkit, D. Macro virus,D,"Whaling is targeting a specific individual who is important in the organization like the president or chief financial officer (CFO). Spear phishing targets specific individuals or groups, but whaling is more specific in terms of the importance of the individuals involved.  Targeted phishing is not a term used in the industry. Phishing is the generic term for a wide range of related attacks, and you should choose the most accurate answer for questions like this."
Objective-1,40,CH1_SEIDL,"When phishing attacks are so focused that they target a specific high-ranking or important individual, they are called what?",, A. Spear phishing, B. Targeted phishing, C. Phishing, D. Whaling,D,"Criminal syndicates may produce, sell, and support malware tools, or may deploy them themselves. Crypto malware and other packages are examples of tools often created and used by criminal syndicates. State actors are more likely to be associated with advanced persistent threats (APTs) aimed at accomplishing goals of the nation-state that supports them. Hacktivists typically have political motivations, whereas script kiddies may simply be in it for recognition or fun."
Objective-1,41,CH1_SEIDL,What type of threat actors are most likely to have a profit motive for their malicious activities?,, A. State actors, B. Script kiddies, C. Hacktivists, D. Criminal syndicates,A,"A rainbow table is a table of precomputed hashes, used to retrieve passwords. A backdoor is used to gain access to a system, not to recover passwords. Social engineering and dictionary attacks can both be used to gain access to passwords, but they are not tables of precomputed hashes."
Objective-1,42,CH1_SEIDL,"One of your users cannot recall the password for their laptop. You want to recover that password for them. You intend to use a tool/technique that is popular with hackers, and it consists of searching tables of precomputed hashes to recover the password. What best describes this?",, A. Rainbow table, B. Backdoor, C. Social engineering, D. Dictionary attack,B,"The most common concern that will arise when a vendor no longer supports a device is a lack of updates or patches. This is particularly concerning when the devices are operational technology such as utility, lighting, or other infrastructure control devices that have a very long life cycle and control important processes or systems. Although improper data storage, lack of documentation, and configuration issues can all be issues, lack of updates and patching remains the biggest and most frequent issue."
Objective-1,43,CH1_SEIDL,"What risk is commonly associated with a lack of vendor support for a product, such as an outdated version of a device?",, A. Improper data storage, B. Lack of patches or updates, C. Lack of available documentation, D. System integration and configuration issues,A,Bluejacking involves sending unsolicited messages to Bluetooth devices when they are in range. Bluesnarfing involves getting data from the Bluetooth device. An evil twin attack uses a rogue access point whose name is similar or identical to that of a legitimate access point.
Objective-1,44,CH1_SEIDL,"You have noticed that when in a crowded area, you sometimes get a stream of unwanted text messages. The messages end when you leave the area. What describes this attack?",, A. Bluejacking, B. Bluesnarfing, C. Evil twin, D. Rogue access point,A,"Since Dennis is able to view the web traffic before it is sent to the actual server, he should be able to conduct a plain-text password attack by intercepting the password. Pass-the-hash attacks are typically used inside Windows environments, SQL injection would attack the server, and cross-site scripting is possible but not as likely as the plain-text password attack in this scenario."
Objective-1,45,CH1_SEIDL,Dennis uses an on-path attack to cause a system to send HTTPS traffic to his system and then forwards it to the actual server the traffic is intended for. What type of password attack can he conduct with the data he gathers if he captures all the traffic from a login form?,, A. A plain-text password attack, B. A pass-the-hash attack, C. A SQL injection attack, D. A cross-site scripting attack,A,"Dumpster diving is the term for rummaging through the waste/trash to recover useful documents or materials. Penetration testers and attackers may dumpster-dive as part of their efforts. In fact, emptying trash cans in a location can provide useful information even without jumping into a dumpster! Trash diving and trash engineering are not the terms used in the industry. Nothing in this scenario describes social engineering."
Objective-1,46,CH1_SEIDL,"Someone has been rummaging through your companyâ€™s trash bins seeking to find documents, diagrams, or other sensitive information that has been thrown out. What is this called?",, A. Dumpster diving, B. Trash diving, C. Social engineering, D. Trash engineering,A,"This is a remote-access Trojan (RAT), malware that opens access for someone to remotely access the system. A worm would have spread itself via a vulnerability, whereas a logic bomb runs when some logical condition is met. Finally, a rootkit provides root or administrative access to the system."
Objective-1,47,CH1_SEIDL,"Louis is investigating a malware incident on one of the computers on his network. He has discovered unknown software that seems to be opening a port, allowing someone to remotely connect to the computer. This software seems to have been installed at the same time as a small shareware application. Which of the following best describes this malware?",, A. RAT, B. Worm, C. Logic bomb, D. Rootkit,B,"Zero-day exploits are new, and they are not in the virus definitions for the antivirus (AV) programs. This makes them difficult to detect, except by their behavior. RATs, worms, and rootkits are more likely to be detected by AV programs."
Objective-1,48,CH1_SEIDL,"Jared is responsible for network security at his company. He has discovered behavior on one computer that certainly appears to be a virus. He has even identified a file he thinks might be the virus. However, using three separate antivirus programs, he finds that none can detect the file. Which of the following is most likely to be occurring?",, A. The computer has a RAT., B. The computer has a zero-day exploit., C. The computer has a worm., D. The computer has a rootkit.,D,"Radio frequency identifier (RFID) attacks typically focus on data capture, spoofing RFID data, or conducting a denial-of-service attack. Birthday attacks are used against cryptosystems, which may be part of an RFID tag environment, but they aren’t a common attack against RFID systems."
Objective-1,49,CH1_SEIDL,Which of the following is not a common means of attacking RFID badges?,, A. Data capture, B. Spoofing, C. Denial-of-service, D. Birthday attacks,C,"Initialization vectors are used with stream ciphers. An IV attack attempts to exploit a flaw to use the IV to expose encrypted data. Nothing in this scenario requires or describes a rogue access point/evil twin. Wi-Fi Protected Setup (WPS) uses a PIN to connect to the wireless access point (WAP). The WPS attack attempts to intercept that PIN in transmission, connect to the WAP, and then steal the WPA2 password."
Objective-1,50,CH1_SEIDL,Your wireless network has been breached. It appears the attacker modified a portion of data used with the stream cipher and used this to expose wirelessly encrypted data. What is this attack called?,, A. Evil twin, B. Rogue WAP, C. IV attack, D. WPS attack,C,"This description does not include any risk to availability since there is no information about systems or services being down or offline. This scenario would likely result in reputational, financial, and data loss impacts for Scott’s company."
Objective-1,51,CH1_SEIDL,"The company that Scott works for has experienced a data breach, and the personal information of thousands of customers has been exposed. Which of the following impact categories is not a concern as described in this scenario?",, A. Financial, B. Reputation, C. Availability loss, D. Data loss,B,"Cross-site request forgery (XSRF or CSRF) sends fake requests to a website that purport to be from a trusted, authenticated user. Cross-site scripting (XSS) exploits the trust the user has for the website and embeds scripts into that website. Bluejacking is a Bluetooth attack.  Nothing in this scenario requires or describes an evil twin, which is an attack that uses a malicious access point that duplicates a legitimate AP."
Objective-1,52,CH1_SEIDL,What type of attack exploits the trust that a website has for an authenticated user to attack that website by spoofing requests from the trusted user?,, A. Cross-site scripting, B. Cross-site request forgery, C. Bluejacking, D. Evil twin,A,"Cyberintelligence fusion is the process of gathering, analyzing, and then distributing information between disparate agencies and organizations. Fusion centers like those operated by the U.S. Department of Homeland Security (DHS) focus on strengthening shared intelligence activities. They are not specifically tasked with building tools by combining other tools, although they may in some cases. They are not power plants, and they are focused on gathering and sharing information, not building a classification structure."
Objective-1,53,CH1_SEIDL,What purpose does a fusion center serve in cyberintelligence activities?,, A. It promotes information sharing between agencies or organizations.," B. It combines security technologies to create new, more powerful tools.", C. It generates power for the local community in a secure way., D. It separates information by classification ratings to avoid accidental distribution.,B,The Common Vulnerabilities and Exposures (CVE) list has entries that describe and provide references to publicly known cybersecurity vulnerabilities. A CVE feed will provide updated information about new vulnerabilities and a useful index number to cross reference with other services.
Objective-1,54,CH1_SEIDL,CVE is an example of what type of feed?,, A. A threat intelligence feed, B. A vulnerability feed, C. A critical infrastructure listing feed, D. A critical virtualization exploits feed,B,"A birthday attack exploits the birthday problem in probability theory and relies on finding collisions between random attack attempts and the number of potential permutations of a solution. Birthday attacks are one method of attacking cryptographic hash functions. They are not a social engineering attack, a network denial-of-service attack, or a TCP/IP protocol attack."
Objective-1,55,CH1_SEIDL,What type of attack is a birthday attack?,, A. A social engineering attack, B. A cryptographic attack, C. A network denial-of-service attack, D. A TCP/IP protocol attack,B,"This an example of a disassociation attack. The deauthentication packet causes Juanita’s system to disassociate, and the attacker can then execute a second attack targeting her authentication credentials or other wireless data using an evil twin attack. Misconfiguration won’t cause authenticated users to deauthenticate. Session hijacking involves taking over an authenticated session. Backdoors are built-in methods to circumvent authentication."
