Chapter,Number,Source,Value,Media,A,B,C,D,CorrectAnswer,Explanation
Objective-4,11,CH4_SEIDL,Brent wants to use a tool to help him analyze malware and attacks and wants to cover a broad range of tactics and tools that are used by adversaries. Which of the following is broadly implemented in technical tools and covers techniques and tactics without requiring a specific order of operations?,,A. The Diamond Model of Intrusion Analysis , B. The Cyber Kill Chain , C. The MITRE ATT&CK framework , D. The CVSS standard    ,C,The MITRE ATT&CK framework focuses on techniques and tactics and does not focus on a specific order of operations like the Cyber Kill Chain does. It also covers a broader range of techniques and adversaries than the Diamond Model does and is broadly implemented in many existing tools. The CVSS standard is a vulnerability scoring system and is not a useful framework for analyzing malware and attacks.
Objective-4,12,CH4_SEIDL,Ted needs to preserve a server for forensic purposes. Which of the following should he not do?,,A. Turn the system off to ensure that data does not change. , B. Remove the drive while the system is running to ensure that data does not change. , C. Leave the machine connected to the network so that users can continue to use it. , D. All of the above    ,D,"To properly preserve the system, Ted needs to ensure that it does not change. Turning the system off will cause anything in memory to be lost, which may be needed for the investigation. Removing the drive while a system is running can cause data to be lost. Instead, live imaging the machine and its memory may be required. Allowing users to continue to use a machine will result in changes, which can also damage Ted’s ability to perform a forensic investigation."
Objective-4,13,CH4_SEIDL,What mitigation technique is used to limit the ability of an attack to continue while keeping systems and services online? ,,A. Segmentation , B. Isolation , C. Nuking , D. Containment    ,D,"Containment efforts are used to limit the spread or impact of an incident. Containment may focus on keeping systems or services online to ensure that organizations can continue to function until other options for business continuity can be implemented. Segmentation moves systems or services into different security zones, and isolation removes them from all contact or puts them in small groups that are removed from the rest of the organization and systems that are not impacted."
Objective-4,14,CH4_SEIDL,Jessica wants to review the network traffic that her Windows system has sent to determine if a file containing sensitive data was uploaded from the system. What Windows log file can she use to find this information? ,,A. The application log , B. The network log , C. The security log , D. None of the above    ,D,"Windows does not log network traffic at a level of granularity that will show if a file has been uploaded. Basic traffic statistics can be captured, but without additional sensors and information gathering capabilities, Jessica will not be able to determine if files are sent from a Windows system."
Objective-4,15,CH4_SEIDL,"What term is used to describe the documentation trail for control, analysis, transfer, and final disposition of evidence for digital forensic work? ",,A. Evidence log , B. Paper trail , C. Chain of custody , D. Digital footprint    ,C,"The chain of custody in forensic activities tracks who has a device, data, or other forensic artifact at any time, when transfers occur, who performed analysis, and where the item, system, or device goes when the forensic process is done. Evidence logs may be maintained by law enforcement to track evidence that is gathered. Paper trail and digital footprint are not technical terms used for digital forensics."
Objective-4,16,CH4_SEIDL,"Henry wants to determine what services are on a network that he is assessing. Which of the following tools will provide him with a list of services, ports, and their status?",,A. nmap , B. route , C. hping , D. netstat    ,A,"Of the listed tools, only nmap is a port scanner, and thus it is the tool that will provide the required information. route is a command-line tool to view and add network traffic routes.  hping is a packet generator and analyzer, and netstat is a command-line tool that shows network connections, interface statistics, and other useful information about a system’s network usage."
Objective-4,17,CH4_SEIDL,"Nathan needs to know how many times an event occurred and wants to check a log file for that event. Which of the following grep commands will tell him how many times the event happened if each occurrence is logged independently in the logfile.txt log file, and uses a unique event ID: event101?",,A. grep logfile.txt -n 'event101' , B. grep -c 'event101' logfile.txt , C. grep logfile.txt -c 'event101' , D. grep -c event101 -i logfile.txt    ,B,"The -c flag for grep counts the number of occurrences for a given string in a file. The -n flag shows the matched lines and line numbers. Even if you’re not sure about which flag is which, the syntax should help on a question like this. When using grep, the pattern comes before the filename, allowing you to rule out two of the options right away."
Objective-4,18,CH4_SEIDL,Jacob wants to ensure that all of the areas that are impacted by an incident are addressed by his incident response team. What term is used to describe the relationship and communications process that teams use to ensure that all of those involved are treated appropriately? ,,A. COOP , B. Stakeholder management , C. PAM , D. Communications planning    ,B,"Stakeholder management involves working with stakeholders, or those who have an interest in the event or impacted systems or services. COOP, or Continuity of Operations Planning, is a U.S. federal government effort to ensure that federal agencies have continuity plans. PAM is privileged account management. Stakeholder management involves more than just communications, although communications is an important part of it."
Objective-4,19,CH4_SEIDL,"While Susan is conducting a forensic review of logs from two servers hosted in the same datacenter, she notices that log items on the first server occurred exactly an hour before matching events on the second server. What is the most likely cause of such exact occurrences?",,"A. The attack took an hour to complete, providing the attacker with access to the second machine an hour later. "," B. The log entries are incorrect, causing the events to appear at the wrong time. ", C. The attacker used a script causing events to happen exactly an hour apart. , D. A time offset is causing the events to appear to occur at different times.    ,D,The most common reason for a one-hour time offset between two systems in the same location is a faulty time zone setting creating a time offset between the systems.
Objective-4,20,CH4_SEIDL,What is the primary usage of Domain Name System (DNS) data in incident investigations and operational security monitoring? ,,A. DNS data is used to capture network scans. , B. DNS data can be used to identify domain transfer attacks. , C. DNS log information can be used to identify malware going to known malicious sites. , D. DNS log information can be used to identify unauthorized logins.    ,C,"DNS data is frequently logged to help identify compromised systems or systems that have visited known phishing sites. DNS logs can be used along with IP reputation and known bad hostname lists to identify issues like these. DNS data is not commonly used to identify network scans and cannot capture them. Domain transfers are not attacks, although they are information gathering and will show in the logs. DNS does not capture information about logins."
Objective-4,21,CH4_SEIDL,Dani generates an OpenSSL certificate using the following command. What has she set with the flag -rsa:2048? openssl req -x509 -sha256 -nodes -days 365 -newkey rsa:2048 -keyout privateKey.key -out mycert.crt,,A. The year that the certificate will expire , B. The key length in bytes , C. The year that the root certificate will expire , D. The key length in bits    ,D,"Even if you’re not deeply familiar with the openssl command-line utility, you should know that certificates use ciphers that accept a bit length as a flag and that bit lengths like 1024, 2048, and 4096 are common. These key lengths are not commonly communicated in bytes, and certificates are unlikely to last for multiple decades, although a certificate authority (CA) root certificate can last for a long time."
Objective-4,22,CH4_SEIDL,Theresa wants to view the last 10 lines of a log file and to see it change as modifications are made. What command should she run on the Linux system she is logged in to?  ,,A. head -f -end 10 logfile.log , B. tail -f logfile.log , C. foot -watch -l 10 logfile.log , D. follow -tail 10 logfile.log    ,B,"By default, the tail command shows the last 10 lines of a file, and using the -f flag follows changes in the file. head shows the top of a file, and foot and follow were made up for this question."
Objective-4,23,CH4_SEIDL,Henry wants to acquire the firmware from a running system. What is the most likely technique that he will need to use to acquire the firmware?,,A. Connect using a serial cable. , B. Acquire the firmware from memory using memory forensics tools. , C. Acquire the firmware from disk using disk forensic tools. , D. None of the above    ,B,"Although firmware acquisition is a less commonly used technique, firmware is typically stored in a chip on a system board rather than on disk. Henry is most likely to succeed if he retrieves the running firmware from memory. A serial connection may work but would typically require rebooting the system."
Objective-4,24,CH4_SEIDL,Eric wants to determine how much bandwidth was used during a compromise and where the traffic was directed to. What technology can he implement before the event to help him see this detail and allow him to have an effective bandwidth monitoring solution? ,,A. A firewall , B. NetFlow , C. packetflow , D. A DLP    ,B,"Network flows using NetFlow or sFlow would provide the information that Eric wants, with details of how much traffic was used, when, and where traffic was directed. A firewall or data loss prevention (DLP) would not show the bandwidth detail, although a firewall may show the connection information for events. Packetflow was made up for this question and is not a technology used for this purpose."
Objective-4,25,CH4_SEIDL,Naomi has acquired an image of a drive as part of a forensic process. She wants to ensure that the drive image matches the original. What should she create and record to validate this? ,,A. A third image to compare to the original and new image , B. A directory listing to show that the directories match , C. A photographic image of the two drives to show that they match , D. A hash of the drives to show that their hashes match    ,D,"Hashing using MD5 or SHA1 is commonly used to validate that a forensic image matches the original drive. Many forensic duplicators automatically generate a hash of both drives when they complete the imaging process to ensure that there is a documentation chain for the forensic artifacts. A third image may be useful but does not validate this. Directory listings do not prove that drives match, and photos, though useful to document the drives and serial numbers, do not validate the contents of the drives."
Objective-4,26,CH4_SEIDL,Ryan has been asked to run Nessus on his network. What type of tool has he been asked to run?,,A. A fuzzer , B. A vulnerability scanner , C. A WAF , D. A protocol analyzer    ,B,"Nessus is a popular vulnerability scanning tool. It is not a fuzzer, web application firewall (WAF), or protocol analyzer."
Objective-4,27,CH4_SEIDL,Jason wants to ensure that the digital evidence he is collecting during his forensic investigation is admissible. Which of the following is a common requirement for admissibility of evidence? ,,A. It must be relevant. , B. It must be hearsay. , C. It must be timely. , D. It must be public.    ,A,"Of the options listed, the only requirement for admissibility is that the evidence must be relevant. Evidence must also be authenticated, meaning that it needs to be genuine."
Objective-4,28,CH4_SEIDL,Which of the following key elements is not typically included in the design of a communication plan?,,A. Incident severity , B. Customer impact , C. Employee impact , D. Cost to the organization    ,D,"The cost to the organization is not typically a part of communications planning. Since incidents can have a broad range of costs, and since exposing those costs can cause worry or a loss of customer confidence in the worst case, the costs of the incident are relatively rarely exposed as part of the incident response process. Communications with customers and employees is critical, and having different communication plans for different event severities helps ensure that appropriate communications occur."
Objective-4,29,CH4_SEIDL,Rick runs the following command: cat file1.txt file2.txt What will occur? ,,A. The contents of file1.txt will be appended to file2.txt. ," B. The contents of file1.txt will be displayed, and then the contents of file2 will be displayed. ", C. The contents of file2.txt will be appended to file1.txt. , D. The contents of both files will be combined line by line.    ,B,"The cat command without an angle bracket to redirect it will simply display the contents of the files listed. Thus, this command will display file1.txt, and then file2.txt.  If Rick had inserted > between the two files, it would have appended file1.txt to file2.txt."
Objective-4,30,CH4_SEIDL,Michelle wants to check for authentication failures on a CentOS Linux–based system. Where should she look for these event logs? ,,A. /var/log/auth.log , B. /var/log/fail , C. /var/log/events , D. /var/log/secure    ,D,"CentOS and Red Hat both store authentication log information in /var/log/secure instead of /var/log/auth.log used by Debian and Ubuntu systems. Knowing the differences between the major distributions can help speed up your forensic and incident investigations, and consistency is one of the reasons that organizations often select a single Linux distribution for their infrastructure whenever it is possible to do so."
Objective-4,31,CH4_SEIDL,A web page’s title is considered what type of information about the page?,,A. Summary , B. Metadata , C. Header data , D. Hidden data    ,B,"Web page titles, as well as headers like meta tags, are examples of metadata about a page and are frequently used to gather information about web pages and websites. Headers are used as part of a page’s design and typically describe the bar at the top of the page used for site navigation. Summary and hidden data are not technical terms used to describe web page components."
Objective-4,32,CH4_SEIDL,Nelson has discovered malware on one of the systems he is responsible for and wants to test it in a safe environment. Which of the following tools is best suited to that testing?,,A. strings , B. scanless , C. Cuckoo , D. Sn1per    ,C,"Cuckoo, or Cuckoo Sandbox, is a malware analysis sandbox that will safely run malware and then analyze and report on its behavior. strings is a command-line tool that retrieves strings from binary data. scanless is a tool described as a port scraper, which retrieves port information without running a port scan by using websites and services to run the scan for you. Sn1per is a pen test framework."
Objective-4,33,CH4_SEIDL,Lucca wants to view metadata for a file so that he can determine the author of the file. What tool should he use from the following list? ,,A. Autopsy , B. strings , C. exiftool , D. grep    ,C,"Although Autopsy, strings, and grep can all be used to retrieve information from files, exiftool is the only purpose-built file metadata retrieval tool listed."
Objective-4,34,CH4_SEIDL,Isaac wants to acquire an image of a system that includes the operating system. What tool can he use on a Windows system that can also capture live memory?,,A. dd , B. FTK Imager , C. Autopsy , D. WinDump    ,B,"FTK Imager is a free tool that can image both systems and memory, allowing Isaac to capture the information he wants. Although dd is useful for capturing disks, other tools are typically used for memory dumps, and though dd can be used on a Windows system, FTK Imager is a more likely choice. Autopsy is a forensic analysis tool and does not provide its own imaging tools. WinDump is a Windows version of tcpdump, a protocol analyzer."
Objective-4,35,CH4_SEIDL,Jason is conducting a forensic investigation and has retrieved artifacts in addition to drives and files. What should he do to document the artifacts he has acquired?  ,,A. Image them using dd and ensure that a valid MD5sum is generated. ," B. Take a picture of them, label them, and add them to the chain of custody documentation. ", C. Contact law enforcement to properly handle the artifacts. , D. Engage legal counsel to advise him how to handle artifacts in an investigation.    ,B,"When artifacts are acquired as part of an investigation, they should be logged and documented as part of the evidence related to the investigation. Artifacts could include a piece of paper with passwords on it, tools or technology related to an exploit or attack, smartcards, or any other element of an investigation."
Objective-4,36,CH4_SEIDL,Gary wants to check for the mail servers for example.com. What tool and command can he use to determine this?  ,,A. nslookup -query =mx example.com , B. ping -email example.com , C. smtp -mx example.com , D. email -lookup -mx example.com    ,A,"The MX records for a domain list its email servers. Gary can use nslookup to query Domain Name System (DNS) for the MX servers using the command nslookup -query =mx example.com to look up example.com’s email server. ping does not support MX server lookups, and both smtp and email are not commandline tools."
Objective-4,37,CH4_SEIDL,Which of the following is best suited to analyzing live SIP traffic?  ,,A. Log files , B. Wireshark , C. Nessus , D. SIPper    ,B,"Wireshark can be used to capture and analyze live Session Initiation Protocol (SIP) traffic on a network. Analysts should keep the fact that SIP traffic may be encrypted on their network and that they may need to take additional steps to fully view the content of SIP packets.  Log files can provide information about SIP sessions and events and are useful for analysis after the fact, but they won’t provide the same detail about live SIP traffic. Nessus is a vulnerability scanner, and SIPper was made up for this question."
Objective-4,38,CH4_SEIDL,Andrea wants to identify services on a remote machine and wants the services to be labeled with service names and other common details. Which of the following tools will not provide that information? ,,A. netcat , B. Sn1per , C. Nessus , D. nmap    ,A,"Although all of the tools listed can perform a port scan and identify open ports, netcat is the only one that does not also integrate automated service identification."
Objective-4,39,CH4_SEIDL,Joseph is writing a forensic report and wants to be sure he includes appropriate detail. Which of the following would not typically be included while discussing analysis of a system?  ,,A. Validation of the system clock’s time settings , B. The operating system in use , C. The methods used to create the image , D. A picture of the person from whom the system was taken    ,D,Forensic reports should include appropriate technical detail. Analysis of a system does not include a picture of the person from whom the system was acquired.
Objective-4,40,CH4_SEIDL,Greg believes an attacker has been using a brute-force password attack against a Linux system he is responsible for. What command could he use to determine if this is the case?  ,,"A. grep ""Failed password"" /var/log/auth.log ", B. tail /etc/bruteforce.log , C. head /etc/bruteforce.log ," D. grep ""Failed login"" /etc/log/auth.log    ",A,"This question tests your knowledge of both the common Linux logs and basic format information for the auth.log file. Greg could use grep to search for ""Failed password"" in the auth.log file found in /var/log on many Linux systems.  There is not a common log file named bruteforce.log; tail and head are not useful for searching through the file, only for showing a set number of lines; and /etc/ is not the normal location for the auth.log file."
Objective-4,41,CH4_SEIDL,Elaine wants to determine what websites a user has recently visited using the contents of a forensically acquired hard drive. Which of the following locations would not be useful for her investigation?  ,,A. The browser cache , B. The browser history , C. The browser’s bookmarks , D. Session data    ,C,"The browser cache, history, and session information will all contain information from recently visited sites. Bookmarks may indicate sites that a user has visited at some point, but a bookmark can be added without visiting a site at all."
Objective-4,42,CH4_SEIDL,Jason wants to acquire network forensic data. What tool should he use to gather this information?  ,,A. nmap , B. Nessus , C. Wireshark , D. SNMP    ,C,"Wireshark is a packet analyzer that can be used to capture and analyze network traffic for forensic purposes. Unlike disk forensics, network forensics require forethought and intentional capture of data before it is needed since traffic is ephemeral. Organizations that want to have a view of network traffic without capturing all traffic might use NetFlow or sFlow to provide some information about network traffic patterns and usage. Nessus is a vulnerability scanner, nmap is a port scanner, and Simple Network Management Protocol (SNMP) is a protocol used to transfer and gather information about network devices and status."
Objective-4,43,CH4_SEIDL,Ananth has been told that attackers sometimes use ping to map networks. What information returned by ping could be most effectively used to determine network topology?  ,,A. TTL , B. Packets sent , C. Packets received , D. Transit time    ,A,"Mapping networks using ping relies on pinging each host, and then uses time-to-live (TTL) information to determine how many hops exist between known hosts and devices inside a network. When TTLs decrease, another router or switch typically exists between you and the device. Packets sent and received can be used to determine if there are issues with the path or link, and transit time can provide information about relative network distance or the path used, but traceroute provides far more useful detail in that case."
Objective-4,44,CH4_SEIDL,Susan has discovered evidence of a compromise that occurred approximately five months ago. She wants to conduct an incident investigation but is concerned about whether the data will exist. What policy guides how long logs and other data are kept in most organizations? ,,A. The organization’s data classification policy , B. The organization’s backup policy , C. The organization’s retention policy , D. The organization’s legal hold policy    ,C,"Organizations define retention policies for different data types and systems. Many organizations use 30-, 45-, 90-, 180-, or 365-day retention policies, with some information required to be kept longer due to law or compliance reasons. Susan’s organization may keep logs for as little as 30 days depending on storage limitations and business needs. Data classification policies typically impact how data is secured and handled. Backup policies determine how long backups are retained and rotated and may have an impact on data if the logs are backed up, but backing up logs are a less common practice due to the space they take up versus the value of having logs backed up. Legal hold practices are common, but policies are less typically defined for legal holds since requirements are set by law."
Objective-4,45,CH4_SEIDL,Selah executes the following command on a system. What has she accomplished?  dd if=/dev/zero of=/dev/sda bs=4096  ,,A. Copying the disk /dev/zero to the disk /dev/sda , B. Formatting /dev/sda , C. Writing zeroes to all of /dev/sda , D. Cloning /dev/sda1    ,C,"Zero-wiping a drive can be accomplished using dd, and when this command is completed Selah will have written zeroes to the entire drive /dev/sda."
Objective-4,46,CH4_SEIDL,Jim is preparing a presentation about his organization’s incident response process and wants to explain why communications with involved groups and individuals across the organization are important. Which of the following is the primary reason that organizations communicate with and involve staff from affected areas throughout the organization in incident response efforts? ,,A. Legal compliance , B. Retention policies , C. Stakeholder management , D. A COOP    ,C,"Involving impacted areas, or those that have a role in the process, is part of stakeholder management and ensures that those who need to be involved or aware of the incident response process are engaged throughout the process. Laws rarely have specific requirements for internal involvement, instead focusing on customers or those whose data is involved in an incident. Retention policies determine what data is kept and for how long. COOP is Continuity of Operations Planning, a federal effort to ensure disaster recovery and business continuity plans are in place for federal agencies."
Objective-4,47,CH4_SEIDL,Elle is conducting an exercise for her organization and wants to run an exercise that is as close to an actual event as possible. What type of event should she run to help her organization get this type of real-world practice?  ,,A. A simulation , B. A tabletop exercise , C. A walk-through , D. A wargame    ,A,"A simulation is the closest you can get to a real-world event without having one. A tabletop exercise has personnel discussing scenarios, whereas a walk-through goes through checklists and procedures. A wargame is not a common exercise type."
Objective-4,48,CH4_SEIDL,Erin wants to determine what devices are on a network but cannot use a port scanner or vulnerability scanner. Which of the following techniques will provide the most data about the systems that are active on the network?  ,,A. Run Wireshark in promiscuous mode. , B. Query DNS for all A records in the domain. , C. Review the CAM tables for all the switches in the network. , D. Run netstat on a local workstation.    ,C,"The Content-Addressable Memory (CAM) tables on switches contain a list of all the devices they have talked to and will give Erin the best chance of identifying the devices on the network. Wireshark and netstat will only have a view of the devices that the system she is working from communicate with or that broadcast on the network segment she is on.  Domain Name System (DNS) will list only systems that have a DNS entry. In most organizations, relatively few systems will have entries in DNS."
Objective-4,49,CH4_SEIDL,What SIEM component collects data and sends it to the SIEM for analysis? ,,A. An alert level , B. A trend analyzer , C. A sensor , D. A sensitivity threshold    ,C,"Sensors are deployed, either as agents, hardware, or virtual machines to gather information to relay it back to a security information and event management (SIEM) device.  Alert levels, trend analysis features, and sensitivity thresholds are all used to analyze and report on data, not to gather data."
Objective-4,50,CH4_SEIDL,Alaina sets her antimalware solution to move infected files to a safe storage location without removing them from the system. What type of setting has she enabled?  ,,A. Purge , B. Deep-freeze , C. Quarantine , D. Retention    ,C,"A quarantine process or setting will preserve malicious or dangerous files and programs without allowing them to run. This allows defenders to retrieve them for further analysis as well as to return them to use if they are determined not to be malicious, or if the malicious components can be removed from needed files. Purging, deep-freezing, and retention are not terms used to describe this behavior or setting."
Objective-4,51,CH4_SEIDL,"A senior vice president in the organization that Chuck works in recently lost a phone that contained sensitive business plans and information about suppliers, designs, and other important materials. After interviewing the vice president, Chuck finds out that the phone did not have a passcode set and was not encrypted, and that it could not be remotely wiped. What type of control should Chuck recommend for his company to help prevent future issues like this?  ",,A. Use containment techniques on the impacted phones. , B. Deploy a DLP system. , C. Deploy an MDM system. , D. Isolate the impacted phones.    ,C,"Chuck should recommend a mobile device management (MDM) system to ensure that organizational devices can be managed and protected in the future. Data loss prevention (DLP) will not stop a lost phone from being a potential leak of data, isolating the phones is not a realistic scenario for devices that will actually be used, nor is containment because the phone is out of the organization’s control once lost."
Objective-4,52,CH4_SEIDL,The school that Gabby works for wants to prevent students from browsing websites that are not related to school work. What type of solution is best suited to help prevent this?  ,,A. A content filter , B. A DLP , C. A firewall , D. An IDS    ,A,"A content filter is specifically designed to allow organizations to select both specific sites and categories of content that should be blocked. Gabby could review content categories and configure the filter to prevent students from browsing to the unwanted sites. A data loss prevention (DLP) solution is designed to prevent data loss, a firewall can block IP addresses or hostnames but would require additional functionality to filter content, and an intrusion detection system (IDS) can detect unwanted traffic but cannot stop it."
Objective-4,53,CH4_SEIDL,"Frank knows that forensic information he is interested in is stored on a system’s hard drive. If he wants to follow the order of volatility, which of the following items should be forensically captured after the hard drive?  ",,A. Caches and registers , B. Backups , C. Virtual memory , D. RAM    ,B,"Information stored on a disk drive is one of the least volatile items in the order of volatility, but backups are even less volatile. That means Frank should capture backups after he images the disk drive and that he should capture CPU cache and registers as well as system RAM first if he needs them."
Objective-4,54,CH4_SEIDL,Greg runs the following command. What occurs?  chmod -R 755 /home/greg/files  ,,"A. All of the files in /home/greg/ are set to allow the group to read, write, and execute them, and Greg and the world can only read them. "," B. The read, write, and execute permissions will be removed from all files in the /home/ greg/files directory. "," C. All of the files in /home/greg/files are set to allow Greg to read, write, and execute them, and the group and the world can only read them. "," D. A new directory will be created with read, write, and execute permissions for the world and read-only permissions for Greg and the group he is in.    ",C,"The -R flag applies the permission recursively to all files in the named directory. Here, the permissions are 7, which sets the owner to read, write, and execute, and 55, which sets group and then world permissions to read only. 755 is a very commonly used permission on Linux systems."
Objective-4,55,CH4_SEIDL,Charles wants to ensure that the forensic work that he is doing cannot be repudiated. How can he validate his attestations and documentation to ensure nonrepudiation?  ,,A. Encrypt all forensic output. , B. Digitally sign the records. , C. Create a MD5 checksum of all images. , D. All of the above    ,B,The most important action Charles can take while working with his forensic artifacts to provide nonrepudiation is to digitally sign the artifacts and information that he is creating in his evidence records. Encrypting the output will ensure its confidentiality but will not provide nonrepudiation by itself. MD5 checksums for images are commonly gathered but must then be signed so that they can be validated to ensure they have not been modified.
Objective-4,56,CH4_SEIDL,Diana wants to capture the contents of physical memory using a command-line tool on a Linux system. Which of the following tools can accomplish this task?  ,,A. ramdump , B. system -dump , C. memcpy , D. memdump    ,D,"The memdump tool is a command-line memory dump utility that can dump physical memory. Somewhat confusingly, memdump is also a flag in the very useful Volatility framework, where it can be used to dump memory as well. The remaining options were made up and are not Linux tools, although you can create a ramdump on Android devices."
Objective-4,57,CH4_SEIDL,Valerie wants to capture the pagefile from a Windows system. Where can she find the file for acquisition?  ,,A. C:\Windows\swap , B. C:\pagefile.sys , C. C:\Windows\users\swap.sys , D. C:\swap\pagefile.sys    ,B,The Windows swapfile is pagefile.sys and is saved in the root of the C:\ drive by default.
Objective-4,58,CH4_SEIDL,Megan needs to conduct a forensic investigation of a virtual machine (VM) hosted in a VMware environment as part of an incident response effort. What is the best way for her to collect the VM? ,,A. As a snapshot using the VMware built-in tools , B. By using dd to an external drive , C. By using dd to an internal drive , D. By using a forensic imaging device after removing the server’s drives    ,A,"The best way to capture a virtual machine from a running hypervisor is usually to use the built-in tools to obtain a snapshot of the system. Imaging tools are not typically capable of capturing machine state, and dd is not designed to capture VMs. Removing a server’s drives can be challenging due to RAID and other specific server configuration items, and doing so might impact all other running VMs and services on the system."
Objective-4,59,CH4_SEIDL,What forensic concept is key to establishing provenance for a forensic artifact? ,,A. Right to audit , B. Preservation , C. Chain of custody , D. Timelines    ,C,"A well-documented chain of custody can help establish provenance for data, proving where it came from, who handled it, and how it was obtained. Right to audit, timelines, and preservation of images do not establish provenance, although preservation is part of the chain of custody process."
